speaker_id,sentence_id,repetition,phoneme_raw,phoneme,onset,offset,duration_ms,l1_status,gender,F1,F2,F3,f0,SCG,F1_25,F2_25,F1_75,F2_75,formant_qc_fail,F1_norm,F2_norm
AB,1,1,d,d,1.1,1.28,180.0,ru,f,207.5270053885264,811.0923730802076,,203.4122057970395,,,,,,False,-1.9995756211657563,-1.7819785793807088
AB,1,1,i,i,1.28,1.57,290.0,ru,f,325.6417513097291,337.24492435806485,2722.7682946585383,267.2089494853997,,415.7965550070991,2631.160015819706,299.1039451677752,1666.29905732173,True,-1.3488477067051545,-2.632292182139917
AB,1,1,ʒ,ʒ,1.62,1.80063,180.63,ru,f,324.4510752282018,3046.425811530719,,228.64733753016955,1108.3433284294597,,,,,False,-1.3554074817551496,2.2293006509767106
AB,1,1,ɑ̃,ɑ̃,1.80063,2.07,269.37,ru,f,459.21980165433087,988.9408840977088,,233.7574560343323,,,,,,False,-0.612928025885247,-1.4628315447043028
AB,1,1,ʃ,ʃ,2.07,2.31,240.0,ru,f,2161.445253873272,3036.0887934492016,,,4532.022927315723,,,,,False,8.76511880328163,2.2107509951531203
AB,1,1,i,i,2.31,2.5,190.0,ru,f,269.1100246087011,2010.0227619222624,2573.380788059092,260.1778504114523,,382.1733629513623,2654.500775533023,1699.4889003895678,2675.917859305284,False,-1.6602971563916318,0.36948772299794297
AB,1,1,t,t,2.55,2.6,50.0,ru,f,1456.8467168540194,2557.820975270929,,,,,,,,False,4.8832839574241325,1.3525050920556811
AB,1,1,ʁ,ʁ,2.6,2.7,100.0,ru,f,792.3374166805856,1207.791790874094,,,,,,,,False,1.222312182316499,-1.070106199216014
AB,1,1,w,w,2.7,2.8,100.0,ru,f,450.5056519245716,881.9807920262725,,228.74858494969388,,,,,,False,-0.6609367688725671,-1.6547701559303203
AB,1,1,a,a,2.8,2.97,170.0,ru,f,885.4872217788189,1365.88632678483,2870.4518949496537,243.5873192932037,,775.615085872201,1334.2250248515663,620.4058232134252,1211.4467414577127,False,1.7355010981562096,-0.7864074375801128
AB,1,1,f,f,2.97,3.15,180.0,ru,f,1313.013309512043,1564.0964447640704,,,2688.8518827791527,,,,,False,4.090864582015688,-0.4307217417369229
AB,1,1,w,w,3.15,3.23366,83.66,ru,f,622.1731883164732,1029.1182874747146,,216.88246131602244,,,,,,False,0.28482878364714403,-1.3907336728952584
AB,1,1,a,a,3.23366,3.39,156.34,ru,f,562.1661391696477,1398.5293617638968,2976.7789769148035,207.28046222426664,,829.518669502842,1402.805475214872,192.9977535518665,1314.289317284915,False,-0.045767211287295696,-0.7278299001196943
AB,10,1,d,d,0.67,0.82,150.0,ru,f,220.18312905192988,778.8249351079946,,198.4922925095405,,,,,,False,-1.9298494164280662,-1.839882112486045
AB,10,1,i,i,0.82,1.14,320.0,ru,f,391.6229121044205,2630.539428567257,3555.2281134267737,219.6756789107568,,331.3466506887007,2618.452306905965,359.4700540427086,2546.308785398389,False,-0.9853386221894693,1.482997490350171
AB,10,1,j,j,1.36695,1.52,153.05,ru,f,304.0985705450364,2716.400470427283,,196.1410924513426,,,,,,False,-1.4675352505890358,1.6370741072815187
AB,10,1,y,y,1.52,1.61,90.0,ru,f,380.4240050004421,1827.527084116732,2422.774886214485,235.2938246897804,,,,,,False,-1.0470366041575423,0.042001402872584234
AB,10,1,k,k,1.61,1.68,70.0,ru,f,1480.8453244705915,2105.639240928481,,,,,,,,False,5.015499150053074,0.541070355691621
AB,10,1,s,s,1.68,1.81,130.0,ru,f,1169.566981522178,2359.827409488195,,,7372.770146571981,,,,,False,3.3005777374573566,0.9972079965497794
AB,10,1,t,t,1.81,1.86,50.0,ru,f,953.768153308542,1485.3659289549444,,,,,,,,False,2.1116802773537477,-0.5720027146012607
AB,10,1,a,a,1.86,1.94,80.0,ru,f,722.6146718026469,1526.2061349295238,2816.679536918084,213.1208007799375,,,,,,False,0.8381896410450009,-0.49871545142547813
AB,10,1,p,p,1.94,2.08091,140.91,ru,f,682.5898463214297,1792.411843328968,,203.81102385356053,,,,,,False,0.6176814309234855,-0.02101247846522519
AB,10,1,o,o,2.08091,2.16103,80.12,ru,f,540.3213830570721,1265.8633601592155,2751.867591318879,196.04584958794413,,,,,,False,-0.16611622000903478,-0.9658974598213489
AB,10,1,z,z,2.16103,2.28,118.97,ru,f,300.1875112204152,1959.5523225963095,,92.11619493572464,1901.7469243279563,,,,,False,-1.489082394917148,0.27891912077833675
